Owner,Situs Address,ZIP,Parcel ID,Geo ID,Land Type,Acres,Market Value
TEXAS CHEMICAL COUNCIL INC,W 606 14 ST   TX 78701,78701,199694,0210020210,COMMERCIAL RES CONVERSION,0.40549999,"$3,220,210"
TEXAS ELEMENTARY PRINCIPALS &,E 501 10 ST   TX 78701,78701,194612,0206040903,COMMERCIAL IMPROVED,0.20280001,"$3,334,570"
TEXAS OPTOMETRIC ASSOCIATION INC,  1104 WEST AVE AUSTIN TX 78701,78701,196638,0208000912,COMMERCIAL RES CONVERSION,0.1469,"$1,487,966"
THREADGILL PROPERTIES LLC,W 605 12 ST   TX 78701,78701,196700,0208001705,MULTIFAMILY,0.1175,"$711,283"
TIME WARNER CABLE TEXAS LLC,W 202 17 ST   TX 78701,78701,200001,0210022904,COMMERCIAL IMPROVED,0.40779999,"$9,622,942"
TM VALLEY ENTERPRISES INC,  85 RAINEY ST   TX 78701,78701,190893,0203031012,COMMERCIAL RES CONVERSION,0.1425,"$2,240,801"
TOUCHE INC,E 223 6 ST   TX 78701,78701,194461,0206031109,COMMERCIAL IMPROVED,0.1312,"$2,400,000"
TOWN LAKE ASSOCIATES LP,  706 CUMMINGS ST   TX 78701,78701,190861,0203030901,MULTIFAMILY,0.72030002,"$94,490,000"
TRACEY PROPERTIES LLC,E 610 3 ST   TX 78701,78701,191613,0204041402,COMMERCIAL DETAILS,0.20280001,"$5,300,200"
TRACEY PROPERTIES LLC,E 600 3 ST   TX 78701,78701,191616,0204041405,COMMERCIAL RES CONVERSION,0.20280001,"$3,815,781"
TRAVIS COUNTY TRUSTEE,  109 SABINE ST   TX 78701,78701,191621,0204041601,COMMERCIAL IMPROVED,2.08599997,"$128,490,496"
TRAVIS COUNTY TRUSTEE,W 505 10 ST   TX 78701,78701,196731,0208010202,VACANT LOT,0.20280001,"$1,324,800"
TRAVIS COUNTY TRUSTEE,  908 SAN ANTONIO ST   TX 78701,78701,196732,0208010203,VACANT LOT,0.40549999,"$2,649,600"
TRAVIS COUNTY TRUSTEE,  1101 NUECES ST   TX 78701,78701,196736,0208010401,COMMERCIAL RES CONVERSION,0.1437,"$1,331,133"
TRAVIS COUNTY TRUSTEE,W 400 10 ST   TX 78701,78701,196759,0208010801,VACANT LOT,2.00219989,"$28,345,200"
TRAVIS COUNTY TRUSTEE,W 411 13 ST   TX 78701,78701,196770,0208011012,COMMERCIAL IMPROVED,0.42840001,"$19,515,177"
TRAVIS COUNTY TRUSTEE,W 307 10 ST   TX 78701,78701,196861,0208011213,COMMERCIAL DETAILS,0.40549999,"$3,109,896"
TRAVIS COUNTY TRUSTEE,  1010 LAVACA ST   TX 78701,78701,196862,0208011303,COMMERCIAL IMPROVED,1.74880004,"$24,198,737"
TRAVIS COUNTY TRUSTEE,W 307 12 ST   TX 78701,78701,196864,0208011402,COMMERCIAL IMPROVED,0.26120001,"$7,538,780"
TRAVIS COUNTY TRUSTEE,W 314 11 ST   TX 78701,78701,196868,0208011411,COMMERCIAL IMPROVED,0.50690001,"$27,064,037"
TRAVIS COUNTY TRUSTEE,  1213 SABINE ST   TX 78701,78701,368594,0208051603,VACANT LOT,0.50040001,"$10,899,500"
TRAVIS COUNTY TRUSTEE,W 408 17 ST   TX 78701,78701,965375,0210021715,COMMERCIAL IMPROVED,0.0057,$0
TRAVIS COUNTY TRUSTEE,W   17 ST   TX 78701,78701,965377,0210021716,COMMERCIAL IMPROVED,0.0101,$0
TREYSIAN LLC,E 604 7 ST   TX 78701,78701,194639,0206041209,COMMERCIAL IMPROVED,0.1763,"$1,500,000"
TRINITY WAY LLC,E 309 3 ST   TX 78701,78701,192865,0205021503,COMMERCIAL IMPROVED,0.40549999,"$20,315,000"
TRIPLE PLAY PROPERTIES LTD,W 604 18 ST   TX 78701,78701,199720,0210020608,MULTIFAMILY,0.8348,"$7,800,000"
TTLA HOLDINGS INC,W 301 13 ST   TX 78701,78701,196873,0208011503,COMMERCIAL IMPROVED,0.33790001,"$8,268,708"
TTLA HOLDINGS INC,  1220 COLORADO ST   TX 78701,78701,197000,0208012003,COMMERCIAL IMPROVED,0.17309999,"$7,169,317"
TURNER BENJAMIN B JR TRUSTEE,  805 LAMBIE ST   TX 78701,78701,188027,0201040213,VACANT LOT,0.2351,"$1,971,385"
TUSCANY TRUST,W 908 16 ST   TX 78701,78701,726994,0211010731,SINGLE FAMILY RESIDENCE,1.02450001,"$5,057,330"
TWEEDY3013 LLC,  3013 TWEEDY TRL   TX 78701,78701,927966,0258430411,SINGLE FAMILY RESIDENCE,0,"$335,082"
TXOGA INC,W 304 13 ST   TX 78701,78701,199829,0210021907,COMMERCIAL IMPROVED,0.13519999,"$3,600,000"
TXOGA INC,W 306 13 ST   TX 78701,78701,199830,0210021908,COMMERCIAL DETAILS,0.13519999,"$1,472,000"
TXOGA INC,W 310 13 ST   TX 78701,78701,199831,0210021910,COMMERCIAL DETAILS,0.2703,"$2,944,000"
UC3 LTD,  607 RED RIVER ST   TX 78701,78701,194618,0206041101,COMMERCIAL IMPROVED,0.076,"$876,190"
UNITED CAPITAL LLC,  1715 GUADALUPE ST   TX 78701,78701,199854,0210022304,MULTIFAMILY,0.41100001,"$25,280,000"
UT LAND COMPANY LTD,  1305 SAN ANTONIO ST   TX 78701,78701,199799,0210021301,COMMERCIAL RES CONVERSION,0.0792,"$1,736,600"
VILLANACCI LANSFORD LLC,  1105 NUECES ST   TX 78701,78701,196738,0208010403,FOUR-PLEX,0.1424,"$1,304,177"
VIVA CONSUELA LLC,  910 CONGRESS AVE   TX 78701,78701,194390,0206030510,COMMERCIAL IMPROVED,0.0845,"$1,978,665"
WALLER CREEK BLOCK 190 LLC,  604 DRISKILL ST   TX 78701,78701,191605,0204041111,VACANT LOT,1.39680004,"$20,654,920"
WALLER CREEK DEVELOPMENT LLC,E 701 9 ST   TX 78701,78701,194650,0206041312,COMMERCIAL DETAILS,0.1293,"$760,320"
WALLER CREEK DEVELOPMENT LLC,E 703 9 ST   TX 78701,78701,194651,0206041313,COMMERCIAL DETAILS,0.20280001,"$1,192,320"
WALLER CREEK DEVELOPMENT LLC,E 707 9 ST   TX 78701,78701,194652,0206041314,VACANT LOT,0.40549999,"$3,179,520"
WALLER CREEK ELEVEN LTD,E 608 CESAR CHAVEZ ST   TX 78701,78701,191606,0204041204,COMMERCIAL IMPROVED,1.73839998,"$349,900,000"
WALLER CREEK OWNER LLC,  98 RED RIVER ST   TX 78701,78701,860621,0204040110,COMMERCIAL IMPROVED,0,"$121,815,840"
WALTRIP HOLDINGS LLC,  75 1/2 RAINEY ST   TX 78701,78701,190887,0203031006,COMMERCIAL RES CONVERSION,0.2057,"$3,171,932"
WC 1ST & TRINITY LP,  99 TRINITY ST   TX 78701,78701,191542,0204040101,COMMERCIAL IMPROVED,0.93970001,"$39,148,426"
WC 3RD AND CONGRESS LP,W   3 ST   TX 78701,78701,192770,0205010401,VACANT LOT,0.56199998,"$12,729,600"
WC 3RD AND CONGRESS LP,  201 COLORADO ST   TX 78701,78701,192775,0205010406,COMMERCIAL IMPROVED,0.33790001,"$10,244,790"
WC 3RD AND CONGRESS LP,  203 COLORADO ST   TX 78701,78701,192776,0205010407,COMMERCIAL IMPROVED,0.33790001,"$10,606,704"
WC 56 EAST AVENUE LLC,  56 EAST AVE   TX 78701,78701,190874,0203030916,COMMERCIAL IMPROVED,1.11979997,"$32,520,518"
WC 6TH & RIO GRANDE LP,  601 RIO GRANDE ST   TX 78701,78701,105370,0107000707,COMMERCIAL IMPROVED,0.1763,"$6,194,438"
WC 720 RED RIVER LP,  720 RED RIVER ST   TX 78701,78701,194594,0206040704,COMMERCIAL IMPROVED,0.0444,"$677,816"
WELLS COMMERCIAL PROPERTIES LP,  800 WEST AVE   TX 78701,78701,196591,0208000512,COMMERCIAL IMPROVED,1.25440001,"$4,673,286"
WESAUS LLC,E 310 5 ST AUSTIN TX 78701,78701,194485,0206031602,COMMERCIAL IMPROVED,0.4118,"$115,000,000"
WEST 17TH STREET LLC,W 803 17 ST   TX 78701,78701,202070,0211010802,TRI-PLEX,0.1964,"$687,025"
WEST FOURTEENTH LLC,W 409 14 ST   TX 78701,78701,199800,0210021302,COMMERCIAL RES CONVERSION,0.1236,"$2,679,753"
WESTVIEW ON 12TH ARC LLC,W 316 12 ST   TX 78701,78701,196874,0208011506,COMMERCIAL IMPROVED,1.01380002,"$48,000,000"
WFT TRUST,E 311 6 ST   TX 78701,78701,194489,0206031606,COMMERCIAL IMPROVED,0.0676,$0
WFT TRUST,E 519 6 ST   TX 78701,78701,194573,0206040510,COMMERCIAL IMPROVED,0.0649,$0
WHAT A NICE BUILDING LLC,W 404 13 ST   TX 78701,78701,199804,0210021308,COMMERCIAL RES CONVERSION,0.1469,"$3,138,644"
WHIMSICAL NOTIONS INC,E 214 6 ST   TX 78701,78701,194468,0206031210,COMMERCIAL IMPROVED,0.1337,"$3,345,000"
WHITE SWAN INVESTMENTS LLC,  1200 GUADALUPE ST   TX 78701,78701,196766,0208011007,VACANT LOT,0.3159,"$3,797,760"
WOODEN HORSE LLC,  1803 PEARL ST   TX 78701,78701,201998,0211010214,DUPLEX,0.168,"$587,853"
WOOLDRIDGE ASSOCIATES LLC,  607 TRINITY ST   TX 78701,78701,194529,0206040201,COMMERCIAL IMPROVED,0.0848,"$1,250,000"
WOOLLETT FAMILY LIMITED PARTNERSHIP NO 1,W 501 12 ST   TX 78701,78701,196743,0208010412,COMMERCIAL RES CONVERSION,0.2534,"$2,861,770"
WRIGHT EQUITY HOLDINGS LLC,  1610 WEST AVE   TX 78701,78701,202071,0211010803,COMMERCIAL RES CONVERSION,0.198,"$1,900,512"
WUKASCH PROPERTIES LTD L L P,  809 CONGRESS AVE   TX 78701,78701,194428,0206030904,COMMERCIAL IMPROVED,0.0845,"$1,900,102"
WUKASCH PROPERTIES LTD L L P,W 500 18 ST   TX 78701,78701,199782,0210021205,COMMERCIAL RES CONVERSION,0.1478,"$3,376,263"
WUKASCH PROPERTIES LTD L L P,W 303 MARTIN LUTHER KING JR BLVD   TX 78701,78701,199863,0210022403,COMMERCIAL IMPROVED,0.14569999,"$1,002,195"
WUKASCH PROPERTIES LTD L L P,  1806 LAVACA ST   TX 78701,78701,199864,0210022404,MULTIFAMILY,0.2218,"$4,830,001"
WUKASCH PROPERTIES LTD L L P,  1804 1/2 LAVACA ST   TX 78701,78701,199865,0210022405,MULTIFAMILY,0.1206,"$2,626,001"
WUKASCH PROPERTIES LTD L L P,W 600 M L KING JR BLVD   TX 78701,78701,203782,0212011509,COMMERCIAL IMPROVED,0.16320001,"$1,475,000"
YANCY MARY G PHD PLLC,  1717 WEST AVE AUSTIN TX 78701,78701,202039,0211010508,COMMERCIAL RES CONVERSION,0.237,"$1,383,020"
ZEEBA HOUSE INC,  86 RAINEY ST   TX 78701,78701,190779,0203030612,COMMERCIAL RES CONVERSION,0.16670001,"$2,575,693"
ZEGMAN I LLC,E 312 6 ST   TX 78701,78701,194508,0206031710,COMMERCIAL IMPROVED,0.0676,"$1,208,953"
ZMM CENAJOHN EAST LP,E 1915 12 ST   TX 78701,78701,908538,0208090818,COMMERCIAL IMPROVED,0,"$1,176,012"
ZRII LLC,  1601 GUADALUPE ST AUSTIN TX 78701,78701,199849,0210022214,COMMERCIAL IMPROVED,0.1882,"$4,290,000"
